ALogP,Molecular_Weight,Num_H_Acceptors,Num_H_Donors,Num_RotatableBonds,FormalCharge,ID,smiles,category
3.574,411.4989,4,3,6,0,CHEMBL505961,Cc1c(CNc2ccc(C(=O)Nc3cc(-c4ccccc4)ccc3N)cc2)cnn1C,ligante
4.593,433.56578,3,3,6,0,CHEMBL400929,Nc1ccc(-c2cccs2)cc1NC(=O)c1ccc(CNC(=O)C2CCCCC2)cc1,ligante
3.278,325.3849,4,3,5,0,CHEMBL263570,O=C(NO)c1ccc(-c2ccc(CNc3ccccc3)cn2)s1,ligante
4.733,437.48982,4,3,7,0,CHEMBL400044,Nc1ccc(-c2ccccc2)cc1NC(=O)c1ccc(CNC(=O)Oc2ccccc2)cc1,ligante
5.963,469.54992,3,3,6,0,CHEMBL1093052,O=C(/C=C/c1ccc(CN2CCCC(c3c(-c4ccccc4)[nH]c4ccccc34)C2)c(F)c1)NO,ligante
-0.261,456.55628,7,5,4,0,CHEMBL393361,CC(C)[C@H]1NC(=O)[C@@H](C)NC(=O)[C@@H](C)NC(=O)C[C@@H](/C=C/CCS)OC(=O)CNC1=O,ligante
3.176,413.46688,5,4,12,0,CHEMBL246586,O=C(CCCCC[C@H](NC(=O)OCc1ccccc1)C(=O)Nc1ccccc1)NO,ligante
5.6,511.65448,4,3,13,0,CHEMBL271799,COc1ccc2[nH]c(C)c(CN[C@@H](CCCCCC(C)=O)C(=O)Nc3cccc(-c4ccccc4)c3)c2c1,ligante
2.308,345.37128,3,2,4,-1,CHEMBL403100,CC(=O)Nc1ccc(C(=O)Nc2cc(-c3ccccc3)ccc2[O-])cc1,ligante
2.93,402.42102,6,2,6,0,CHEMBL2048750,COc1ccc(S(=O)(=O)n2ccc3cc(/C=C/C(=O)NO)ccc32)cc1OC,ligante
2.719,294.37086,3,1,3,0,CHEMBL2337864,Oc1cccn(Cc2ccc(-c3ccncc3)cc2)c1=S,ligante
0.734,111.0987,3,2,0,0,CHEMBL287899,Oc1cccnc1O,ligante
1.684,407.421,7,4,9,0,CHEMBL1083411,O=C(CCCCCNC(=O)NC(=O)c1ccc(N2CCCC2)c([N+](=O)[O-])c1)NO,ligante
3.023,344.36012,3,3,4,0,CHEMBL247383,O=C(Cc1ccc(F)cc1)Nc1ccc2cc(C(=O)NO)sc2c1,ligante
0.38,447.5511,5,5,11,1,CHEMBL1084356,C[NH+](C)CC(C)(C)Cn1cnc2cc(C(=O)NC(=O)NCCCCCC(=O)NO)ccc21,ligante
2.325,284.33628,4,1,3,0,CHEMBL2337863,Oc1cccn(Cc2cn(-c3ccccc3)nn2)c1=S,ligante
0.232,127.1643,2,2,0,0,CHEMBL2337874,Oc1ccc[nH]c1=S,ligante
3.02,580.58731,8,4,7,0,CHEMBL400919,Nc1ccccc1NC(=O)c1ccc(C(C(=O)Nc2ccc3c(c2)OCCO3)C(=O)Nc2ccc3c(c2)OCCO3)cc1,ligante
2.295,403.47206,7,5,12,0,CHEMBL387042,Cc1ncc(CO)c(CNc2ccc(OCCCCCCC(=O)NO)cc2)c1O,ligante
3.089,422.49524,6,3,12,0,CHEMBL217778,COc1ccc(S(=O)(=O)Nc2ccc(OCCCCCCC(=O)NO)cc2)cc1,ligante
2.385,447.52942,5,2,10,-1,CHEMBL511573,O=C([O-])CCCCC[C@H](NC(=O)c1cncs1)c1nc(-c2ccc3ccccc3c2)c[nH]1,ligante
4.312,448.4739,4,2,6,0,CHEMBL471868,COP(=O)(c1ccccc1)c1ccc(C(=O)Nc2cc(-c3cccs3)ccc2N)cc1,ligante
3.637,506.6015,8,5,9,0,CHEMBL257631,Nc1ccccc1NC(=O)c1ccc(CNc2nc(NC3CC3)nc(NC3Cc4ccccc4C3)n2)cc1,ligante
3.36,370.40062,4,2,4,0,CHEMBL238568,Nc1ccccc1NC(=O)c1ccc(Cc2coc3ccccc3c2=O)cc1,ligante
3.397,404.4848,5,3,6,0,CHEMBL403467,COc1ccc2nc(NCc3ccc(C(=O)Nc4ccccc4N)cc3)sc2c1,ligante
3.301,306.31536,3,3,4,0,CHEMBL242533,O=C(/C=C/c1cccc(C(=O)c2cc3ccccc3[nH]2)c1)NO,ligante
4.794,375.45866,5,2,11,0,CHEMBL1822046,CC(C)CCc1c(OCCCCCCC(=O)NO)ccc2ccc(=O)oc12,ligante
3.206,514.53408,6,4,7,0,CHEMBL251145,N#Cc1cccc(NC(=O)C(C(=O)Nc2cccc(C#N)c2)c2ccc(C(=O)Nc3ccccc3N)cc2)c1,ligante
6.278,540.97208,6,3,8,0,CHEMBL1630109,O=C(/C=C/c1cccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)c1)NO,ligante
2.114,437.47654,6,4,6,1,CHEMBL2312466,Nc1ccccc1NC(=O)c1ccc(CNc2nccc(-c3c[nH+]c4ncccn34)n2)cc1,ligante
2.773,356.39564,4,3,5,0,CHEMBL279797,COc1ccc(CNC(=O)c2ccc3sc(C(=O)NO)cc3c2)cc1,ligante
5.203,460.54476,5,3,8,0,CHEMBL235413,COc1ccc(NCc2ccc(C(=O)Nc3cc(-c4cccs4)ccc3O)cc2)cc1OC,ligante
4.519,385.41526,4,2,5,0,CHEMBL1099095,COc1ccc(-n2c(-c3cccc(/C=C/C(=O)NO)c3)nc3ccccc32)cc1,ligante
3.239,445.51358,6,2,6,0,CHEMBL237108,C[C@@H]1CN(c2ccc(C(=O)Nc3ccccc3N)cn2)CCN1C(=O)OCc1ccccc1,ligante
4.131,320.4728,3,2,8,0,CHEMBL419758,O=C(CCCCCCS)Nc1nc(-c2ccccc2)cs1,ligante
2.235,289.3312,3,2,3,0,CHEMBL255805,Nc1ccc(-c2ccccc2)cc1NC(=O)c1cccnc1,ligante
2.715,481.54898,8,3,7,0,CHEMBL479278,Nc1ccccc1NC(=O)c1ccc(CNc2nccc(-c3ccc(N4CCOCC4)nc3)n2)cc1,ligante
3.444,455.5084,7,3,8,0,CHEMBL271862,COc1ccc(-c2ccnc(NCc3ccc(C(=O)Nc4ccccc4N)cc3)n2)cc1OC,ligante
4.125,449.93596,6,3,8,0,CHEMBL404332,CCCCn1cnc2c(NCc3ccc(C(=O)Nc4ccccc4N)cc3)nc(Cl)nc21,ligante
0.33,513.60588,6,4,8,-1,CHEMBL402363,CC(C)[C@H]1NC(=O)[C@@H](C)[C@@H](C/C=C\CCC(=O)[O-])NC(=O)[C@@H](Cc2ccccc2)NC(=O)[C@@H](C)NC1=O,ligante
2.18,491.5621,5,3,6,0,CHEMBL1957458,CCN1CCN(C(=O)NCc2ccc(C(=O)Nc3cc(-c4cccs4)ccc3N)cc2)C(=O)C1=O,ligante
2.578,255.33327,3,2,8,0,CHEMBL99394,O=C(CCCCCCC(=O)c1cccs1)NO,ligante
3.893,403.53826,5,3,10,0,CHEMBL235263,CC(C)(C)OC(=O)N[C@@H](CCCCCS)C(=O)Nc1cnc2ccccc2c1,ligante
4.028,421.55508,4,2,11,0,CHEMBL272403,CC(=O)CCCCC[C@H](Nc1cncs1)C(=O)Nc1cccc(-c2ccccc2)c1,ligante
2.411,387.41126,4,3,4,1,CHEMBL241337,Nc1ccccc1NC(=O)c1ccc(CN2C(=O)[NH2+]c3ccccc3C2=O)cc1,ligante
2.216,475.98982,3,4,6,1,CHEMBL2177587,C[NH+]1C[C@H](C(=O)Nc2ccc(Cl)cc2)[C@@H](c2ccc(/C=C/C(=O)Nc3ccccc3N)cc2)C1,ligante
2.665,502.60462,5,4,9,1,CHEMBL1957463,Nc1ccc(-c2cccs2)cc1NC(=O)c1ccc(C[NH+](CCO)Cc2ccc3c(c2)OCO3)cc1,ligante
3.436,451.59614,6,4,11,0,CHEMBL2347007,CCC(C)(C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H](O)C[C@@H](O)CC(=O)NO)[C@H]21,ligante
2.472,584.71017,6,5,13,0,CHEMBL494124,COc1ccc2[nH]c(C)c(CC(=O)N[C@@H](CCCCNS(N)(=O)=O)C(=O)Nc3nc(-c4ccccc4)cs3)c2c1,ligante
7.101,569.69223,9,1,18,0,CHEMBL2022830,O=C(N[C@@H](CCCCCCSSc1ccccn1)C(=O)OCc1ccc([N+](=O)[O-])cc1)OCc1ccccc1,ligante
4.03,335.38302,4,2,4,0,CHEMBL2057824,[N-]=[N+]=Nc1ccc(C(=O)Nc2cc(-c3cccs3)ccc2N)cc1,ligante
1.076,266.29302,4,3,7,0,CHEMBL1091487,COc1ccc(NC(=O)CCCCC(=O)NO)cc1,ligante
3.395,292.33184,2,2,4,0,CHEMBL2048755,O=C(/C=C/c1ccc2c(ccn2Cc2ccccc2)c1)NO,ligante
3.642,452.50776,7,4,8,0,CHEMBL514351,Cc1ccc(NCc2ccc(/C=C/C(=O)NO)cc2)cc1Nc1nccc(-c2cccnc2)n1,ligante
3.172,472.53888,5,4,7,1,CHEMBL493358,Cc1ccc(NC(=O)c2ccc(/C=C/C(=O)NO)cc2)cc1[NH2+]c1ncc(-c2cccnc2)s1,ligante
3.834,402.46892,5,2,6,0,CHEMBL402599,Nc1ccccc1NC(=O)c1ccc(CSc2nnc(-c3ccccc3)o2)cc1,ligante
0.51,377.41644,5,3,8,1,CHEMBL514671,Nc1ccccc1NC(=O)c1ccc(C[NH2+]COC(=O)c2cccnc2)cc1,ligante
0.96,393.4556,4,3,4,1,CHEMBL1938433,O=C(/C=C/c1ccc2c(c1)C(=O)CC1(CC[NH+](Cc3ccccc3)CC1)O2)NO,ligante
3.113,422.92892,5,2,10,0,CHEMBL385238,CC(=O)CCCCC[C@H](NC(=O)c1snnc1C)C(=O)Nc1cccc(Cl)c1,ligante
3.235,336.36288,4,3,5,0,CHEMBL271852,Nc1ccccc1NC(=O)c1ccc(CNc2cccc(F)n2)cc1,ligante
1.218,480.58424,8,4,4,1,CHEMBL2323286,CC(C)[C@@H]1NC(=O)Cn2nnc(n2)-c2csc([nH+]2)CNC(=O)C[C@@H](/C=C/CCS)OC1=O,ligante
2.619,357.40516,3,2,4,0,CHEMBL239625,Nc1ccccc1NC(=O)c1ccc(CN2Cc3ccccc3C2=O)cc1,ligante
3.884,356.4171,3,2,4,0,CHEMBL398394,Nc1ccccc1NC(=O)c1ccc(CC2Cc3ccccc3C2=O)cc1,ligante
3.23,446.4968,6,4,12,0,CHEMBL469274,CC(C)(C)OC(=O)Nc1cccc(-c2cc(C(=O)NCCCCCCC(=O)NO)no2)c1,ligante
3.519,392.83828,4,3,5,0,CHEMBL254111,Nc1ccccc1NC(=O)c1ccc(CNc2nc3cc(Cl)ccc3o2)cc1,ligante
2.636,280.27808,3,2,3,0,CHEMBL258128,O=C(Nc1cc(-c2ccccc2)ccc1O)c1ccno1,ligante
3.886,450.55324,5,2,11,0,CHEMBL472233,CC(=O)CCCCC[C@H](NS(=O)(=O)c1cccc(C#N)c1)c1nc(-c2ccccc2)c[nH]1,ligante
2.686,374.47544,2,2,7,0,CHEMBL472670,CC(C)C[NH2+]Cc1ccc(C(=O)Nc2cc(-c3ccccc3)ccc2[O-])cc1,ligante
2.2,574.66238,5,6,12,1,CHEMBL2347008,CC(C)C1=C(C(=O)Nc2ccccc2)C(c2ccccc2)=C(c2ccc(F)cc2)[NH+]1CC[C@@H](O)C[C@@H](O)CC(=O)NO,ligante
1.666,497.5602,7,5,10,1,CHEMBL2347009,CC(C)c1[nH+]c(N(C)S(C)(=O)=O)nc(-c2ccc(F)cc2)c1/C=C/[C@@H](O)C[C@@H](O)CC(=O)NO,ligante
3.44,326.41272,3,3,6,0,CHEMBL245363,O=C(NO)c1cc2ccc(CNCCc3ccccc3)cc2s1,ligante
4.184,378.5288,4,3,11,0,CHEMBL236129,O=C(N[C@@H](CCCCCS)C(=O)NC1CCCC1)OCc1ccccc1,ligante
0.23,280.3229,4,4,6,0,CHEMBL227119,CN(C)c1ccc(CNC(=O)NCCC(=O)NO)cc1,ligante
3.844,295.35562,2,2,3,0,CHEMBL398884,O=C(Nc1cc(-c2ccccc2)ccc1O)c1cccs1,ligante
2.393,296.40834,4,2,7,0,CHEMBL481297,CCNC(=S)SCC(=O)c1ccc(NC(C)=O)cc1,ligante
1.518,324.3953,4,2,6,0,CHEMBL1808627,CCCCS(=O)(=O)N1Cc2ccc(/C=C/C(=O)NO)cc2C1,ligante
2.977,295.42028,4,1,7,0,CHEMBL482765,CCCC(=S)SCC(=O)c1ccc(NC(C)=O)cc1,ligante
3.244,307.34648,3,3,5,0,CHEMBL515906,O=C(/C=C/c1ccc2[nH]c(CCc3ccccc3)nc2c1)NO,ligante
3.824,428.5062,5,3,6,0,CHEMBL259127,Nc1ccccc1NC(=O)c1ccc(CSc2nc(-c3ccccc3)cc(=O)[nH]2)cc1,ligante
3.351,324.39358,4,1,9,-1,CHEMBL95842,O=C([O-])CCCCCC/C(=N\O)c1ccc(-c2ccccc2)cc1,ligante
4.395,566.61392,5,4,11,0,CHEMBL1643315,Nc1ccccc1NC(=O)/C=C/c1ccc(C(NCCC2CCOCC2)C(=O)Nc2ccc(C(F)(F)F)cc2)cc1,ligante
1.833,416.4326,7,4,7,0,CHEMBL520601,Nc1ccccc1NC(=O)c1ccc(CNc2nccc(-c3cc(CO)no3)n2)cc1,ligante
0.39,586.76427,9,3,14,0,CHEMBL2158744,CC(=O)SCCCCC[C@@H]1NC(=O)[C@H]2CCCN2C(=O)[C@H](CCOCCSC(C)=O)NC(=O)C(C)(C)NC1=O,ligante
3.678,343.32088,3,1,6,0,CHEMBL497123,COc1ccc(CNC(=O)c2ccc(C(=O)C(F)(F)F)s2)cc1,ligante
3.257,269.383,4,1,7,0,CHEMBL487615,CCNC(=S)SCC(=O)c1ccc(OC)cc1,ligante
4.755,441.60776,7,1,10,0,CHEMBL518961,CCSC(=S)SCC(=O)c1ccc(S(=O)(=O)Nc2ccc(OC)cc2)cc1,ligante
3.879,442.53608,7,3,7,0,CHEMBL482002,CSc1nc(NCc2ccc(C(=O)Nc3ccccc3N)cc2)cc(-c2cccnc2)n1,ligante
5.332,425.60836,6,1,10,0,CHEMBL479601,CCSC(=S)SCC(=O)c1ccc(CC(=O)Nc2ccc(OC)cc2)s1,ligante
1.528,315.32388,4,4,5,0,CHEMBL2179247,COc1ccccc1NC(=O)NCc1ccc(C(=O)NO)cc1,ligante
3.162,515.5652,7,4,7,0,CHEMBL475820,Cc1ccc(NC(=O)c2ccc(C(=O)Nc3ccccc3N)cc2)cc1Nc1ncc(-c2cccnc2)cn1,ligante
2.607,457.54588,5,4,12,0,CHEMBL494138,NS(=O)(=O)NCCCC[C@H](NC(=O)OCc1ccccc1)c1c[nH]c(-c2ccccc2)n1,ligante
2.985,358.39322,5,2,5,0,CHEMBL403597,Cc1ccc(C#N)c(OCc2ccc(C(=O)Nc3ccccc3N)cc2)n1,ligante
0.83,340.44264,4,3,4,1,CHEMBL237324,CC(C)[C@H]1CN(c2ccc(C(=O)Nc3ccccc3N)cn2)CC[NH2+]1,ligante
2.204,294.34618,4,3,8,0,CHEMBL2312167,Cc1ccc(C(=O)NOCCCCCC(=O)NO)cc1C,ligante
4.072,327.32148,2,1,5,0,CHEMBL507716,C[C@@H](NC(=O)c1ccc(C(=O)C(F)(F)F)s1)c1ccccc1,ligante
5.124,419.58064,6,1,11,0,CHEMBL482272,CCSC(=S)SCC(=O)c1cccc(C(=O)NCCOc2ccccc2)c1,ligante
5.32,395.58238,5,1,9,0,CHEMBL482137,CCSC(=S)SCC(=O)c1ccc(C(=O)NCc2ccccc2)s1,ligante
1.399,291.75274,2,3,5,1,CHEMBL472663,O=C(NO)c1ccc(C[NH2+]Cc2cccc(Cl)c2)cc1,ligante
2.069,300.3523,3,2,3,0,CHEMBL1808620,O=C(/C=C/c1ccc2c(c1)CN(C(=O)C1CCCC1)C2)NO,ligante
3.918,376.51614,6,1,8,0,CHEMBL519134,CCSC(=S)SCC(=O)c1cccc(NC(=O)c2cccnc2)c1,ligante
1.887,318.18688,4,3,5,0,CHEMBL2047675,O=C(Cc1ccc(O)c(Br)c1)C(=O)NCCS,ligante
4.173,359.59342,3,4,11,0,CHEMBL235918,CC(C)(C)NC(=S)N[C@@H](CCCCCS)C(=O)NC1CCCC1,ligante
4.327,483.53834,4,3,6,0,CHEMBL168221,Nc1ccccc1NC(=O)/C=C/c1ccc(NS(=O)(=O)c2cccc3oc4ccccc4c23)cc1,ligante
5.898,489.32078,4,1,6,0,CHEMBL2047619,O=C(/C=C\c1cn(-c2ccccc2)nc1-c1ccc([N+](=O)[O-])cc1)Nc1ccc(Br)cc1,ligante
3.84,268.39494,4,0,7,0,CHEMBL445518,CCCC(=S)SCC(=O)c1ccc(OC)cc1,ligante
4.547,415.52736,3,3,10,0,CHEMBL515285,Nc1ccccc1NC(=O)CCCCCCC(=O)Nc1cccc(-c2ccccc2)c1,ligante
6.904,495.70304,7,1,10,0,CHEMBL481703,CCSC(=S)SCC(=O)c1ccc(-c2ccc(CNc3cnc4ccccc4c3)cn2)s1,ligante
3.364,379.35628,4,0,5,0,CHEMBL497332,CN(Cc1ccc2nccnc2c1)C(=O)c1ccc(C(=O)C(F)(F)F)s1,ligante
3.996,313.39082,3,2,8,0,CHEMBL95510,CC(CCCCCC(=O)c1ccc2ccccc2c1)C(=O)NO,ligante
1.792,179.21571,2,2,4,0,CHEMBL55895,O=C(CCCc1ccccc1)NO,ligante
3.732,341.51186,5,1,9,0,CHEMBL490067,CCSC(=S)SCC(=O)c1ccc(CCNC(C)=O)cc1,ligante
4.838,331.40764,2,2,6,0,CHEMBL273000,O=C(CCCc1ccccc1)Nc1cc(-c2ccccc2)ccc1O,ligante
1.15,250.25051,4,1,3,-1,CHEMBL246759,COC(=O)c1ccc2cc(C(=O)N[O-])sc2c1,ligante
0.811,127.14116,2,2,1,0,CHEMBL2333346,O=C(NO)C1=CCCC1,ligante
1.144,541.70539,4,5,8,1,CHEMBL2063396,CCC[C@@H]1NC(=O)[C@H](C)NC(=O)C[C@H](CC(C)C)NC(=O)[C@H](Cc2cn(C[NH+](C)C)c3ccccc23)NC1=O,ligante
2.943,452.5674,3,4,9,1,CHEMBL1164063,Nc1ccccc1NC(=O)c1ccc(C[NH+](CCO)Cc2ccc(-c3ccccc3)cc2)cc1,ligante
2.688,389.4487,5,3,7,0,CHEMBL270249,O=C(Cc1ccc(-c2csc(NC(=O)COc3ccccc3)n2)s1)NO,ligante
2.245,193.24229,2,2,2,0,CHEMBL249284,CC(C)(C)c1ccc(C(=O)NO)cc1,ligante
2.928,287.31048,4,2,6,0,CHEMBL1808673,O=C(/C=C/C=C/CC/C=C/c1ccc2c(c1)OCO2)NO,ligante
2.92,291.24962,3,2,3,0,CHEMBL216885,Cn1nc(C(F)(F)F)cc1-c1ccc(C(=O)NO)s1,ligante
5.431,492.52856,6,3,9,0,CHEMBL2057820,[N-]=[N+]=Nc1cccc(COC(=O)NCc2ccc(C(=O)Nc3cc(-c4ccccc4)ccc3N)cc2)c1,ligante
2.656,341.3181,6,2,7,0,CHEMBL471042,O=C(/C=C/c1ccc(/C=N/OCc2ccc([N+](=O)[O-])cc2)cc1)NO,ligante
4.458,484.61252,3,2,7,0,CHEMBL1165774,CN(C)C(=O)N(Cc1ccc(C(=O)Nc2ccccc2N)cc1)Cc1ccc(-c2cccs2)cc1,ligante
